unitary_idx,weight,obs_idx,N,mae
0,1,0,500,0.209531
0,1,0,1000,0.124307
0,1,0,2000,0.076684
0,1,0,4000,0.063556
0,1,1,500,0.170891
0,1,1,1000,0.133382
0,1,1,2000,0.078961
0,1,1,4000,0.085410
0,1,2,500,0.198318
0,1,2,1000,0.125674
0,1,2,2000,0.099180
0,1,2,4000,0.083437
0,1,3,500,0.190199
0,1,3,1000,0.118515
0,1,3,2000,0.067744
0,1,3,4000,0.066398
0,2,0,500,0.164869
0,2,0,1000,0.122103
0,2,0,2000,0.082161
0,2,0,4000,0.069555
0,2,1,500,0.169432
0,2,1,1000,0.132505
0,2,1,2000,0.088317
0,2,1,4000,0.065518
0,2,2,500,0.131524
0,2,2,1000,0.100473
0,2,2,2000,0.063682
0,2,2,4000,0.066593
0,2,3,500,0.139089
0,2,3,1000,0.098139
0,2,3,2000,0.074368
0,2,3,4000,0.061950
0,3,0,500,0.161633
0,3,0,1000,0.127674
0,3,0,2000,0.087530
0,3,0,4000,0.069058
0,3,1,500,0.152796
0,3,1,1000,0.129088
0,3,1,2000,0.091321
0,3,1,4000,0.072114
0,3,2,500,0.227807
0,3,2,1000,0.118198
0,3,2,2000,0.081493
0,3,2,4000,0.062465
0,3,3,500,0.198160
0,3,3,1000,0.141831
0,3,3,2000,0.103240
0,3,3,4000,0.077833
0,4,0,500,0.169343
0,4,0,1000,0.126443
0,4,0,2000,0.096354
0,4,0,4000,0.065529
0,4,1,500,0.205890
0,4,1,1000,0.131050
0,4,1,2000,0.107647
0,4,1,4000,0.068774
0,4,2,500,0.173138
0,4,2,1000,0.133448
0,4,2,2000,0.096796
0,4,2,4000,0.065900
0,4,3,500,0.185660
0,4,3,1000,0.138857
0,4,3,2000,0.092433
0,4,3,4000,0.075077
0,5,0,500,0.197194
0,5,0,1000,0.142556
0,5,0,2000,0.095835
0,5,0,4000,0.073567
0,5,1,500,0.171731
0,5,1,1000,0.106855
0,5,1,2000,0.077239
0,5,1,4000,0.061167
0,5,2,500,0.157731
0,5,2,1000,0.143960
0,5,2,2000,0.098509
0,5,2,4000,0.073382
0,5,3,500,0.266385
0,5,3,1000,0.156757
0,5,3,2000,0.112877
0,5,3,4000,0.070833
1,1,0,500,0.202176
1,1,0,1000,0.137989
1,1,0,2000,0.098169
1,1,0,4000,0.080588
1,1,1,500,0.198373
1,1,1,1000,0.121901
1,1,1,2000,0.094218
1,1,1,4000,0.072146
1,1,2,500,0.155742
1,1,2,1000,0.091076
1,1,2,2000,0.077314
1,1,2,4000,0.065998
1,1,3,500,0.222338
1,1,3,1000,0.130432
1,1,3,2000,0.087729
1,1,3,4000,0.071794
1,2,0,500,0.179857
1,2,0,1000,0.142559
1,2,0,2000,0.099086
1,2,0,4000,0.071731
1,2,1,500,0.144036
1,2,1,1000,0.125937
1,2,1,2000,0.079575
1,2,1,4000,0.067624
1,2,2,500,0.179089
1,2,2,1000,0.127623
1,2,2,2000,0.094575
1,2,2,4000,0.071822
1,2,3,500,0.157064
1,2,3,1000,0.116390
1,2,3,2000,0.086654
1,2,3,4000,0.063615
1,3,0,500,0.176734
1,3,0,1000,0.119543
1,3,0,2000,0.108193
1,3,0,4000,0.076188
1,3,1,500,0.274472
1,3,1,1000,0.156796
1,3,1,2000,0.115720
1,3,1,4000,0.080065
1,3,2,500,0.185796
1,3,2,1000,0.120918
1,3,2,2000,0.084360
1,3,2,4000,0.049039
1,3,3,500,0.195536
1,3,3,1000,0.125359
1,3,3,2000,0.098132
1,3,3,4000,0.067592
1,4,0,500,0.121678
1,4,0,1000,0.103525
1,4,0,2000,0.085713
1,4,0,4000,0.061061
1,4,1,500,0.198139
1,4,1,1000,0.119050
1,4,1,2000,0.081617
1,4,1,4000,0.049029
1,4,2,500,0.227720
1,4,2,1000,0.175522
1,4,2,2000,0.120125
1,4,2,4000,0.082333
1,4,3,500,0.195674
1,4,3,1000,0.110975
1,4,3,2000,0.071361
1,4,3,4000,0.077048
1,5,0,500,0.186984
1,5,0,1000,0.118260
1,5,0,2000,0.080204
1,5,0,4000,0.062075
1,5,1,500,0.219395
1,5,1,1000,0.127515
1,5,1,2000,0.081815
1,5,1,4000,0.082809
1,5,2,500,0.184033
1,5,2,1000,0.133965
1,5,2,2000,0.094919
1,5,2,4000,0.062688
1,5,3,500,0.175904
1,5,3,1000,0.109488
1,5,3,2000,0.078173
1,5,3,4000,0.058212
2,1,0,500,0.179870
2,1,0,1000,0.135706
2,1,0,2000,0.090906
2,1,0,4000,0.075155
2,1,1,500,0.189766
2,1,1,1000,0.127929
2,1,1,2000,0.085598
2,1,1,4000,0.061915
2,1,2,500,0.183657
2,1,2,1000,0.145333
2,1,2,2000,0.082550
2,1,2,4000,0.064486
2,1,3,500,0.167694
2,1,3,1000,0.123743
2,1,3,2000,0.084251
2,1,3,4000,0.065240
2,2,0,500,0.150048
2,2,0,1000,0.122197
2,2,0,2000,0.072095
2,2,0,4000,0.072570
2,2,1,500,0.151878
2,2,1,1000,0.111432
2,2,1,2000,0.085533
2,2,1,4000,0.075085
2,2,2,500,0.133345
2,2,2,1000,0.101622
2,2,2,2000,0.082136
2,2,2,4000,0.071584
2,2,3,500,0.189006
2,2,3,1000,0.119916
2,2,3,2000,0.084249
2,2,3,4000,0.064222
2,3,0,500,0.156587
2,3,0,1000,0.127501
2,3,0,2000,0.095608
2,3,0,4000,0.071630
2,3,1,500,0.156388
2,3,1,1000,0.134660
2,3,1,2000,0.071205
2,3,1,4000,0.052615
2,3,2,500,0.201028
2,3,2,1000,0.129877
2,3,2,2000,0.105021
2,3,2,4000,0.081515
2,3,3,500,0.168404
2,3,3,1000,0.122747
2,3,3,2000,0.084760
2,3,3,4000,0.067567
2,4,0,500,0.169720
2,4,0,1000,0.138333
2,4,0,2000,0.091325
2,4,0,4000,0.084540
2,4,1,500,0.152168
2,4,1,1000,0.126246
2,4,1,2000,0.085323
2,4,1,4000,0.070962
2,4,2,500,0.195877
2,4,2,1000,0.157808
2,4,2,2000,0.099958
2,4,2,4000,0.061667
2,4,3,500,0.199649
2,4,3,1000,0.138089
2,4,3,2000,0.101903
2,4,3,4000,0.068079
2,5,0,500,0.168085
2,5,0,1000,0.114519
2,5,0,2000,0.078970
2,5,0,4000,0.058843
2,5,1,500,0.193180
2,5,1,1000,0.117339
2,5,1,2000,0.095556
2,5,1,4000,0.079327
2,5,2,500,0.226353
2,5,2,1000,0.123123
2,5,2,2000,0.086712
2,5,2,4000,0.067906
2,5,3,500,0.206648
2,5,3,1000,0.121116
2,5,3,2000,0.093030
2,5,3,4000,0.072593
3,1,0,500,0.192593
3,1,0,1000,0.129010
3,1,0,2000,0.086716
3,1,0,4000,0.073810
3,1,1,500,0.141603
3,1,1,1000,0.096892
3,1,1,2000,0.080727
3,1,1,4000,0.068401
3,1,2,500,0.189100
3,1,2,1000,0.130913
3,1,2,2000,0.094349
3,1,2,4000,0.059940
3,1,3,500,0.145078
3,1,3,1000,0.125643
3,1,3,2000,0.082455
3,1,3,4000,0.062698
3,2,0,500,0.193540
3,2,0,1000,0.128512
3,2,0,2000,0.089491
3,2,0,4000,0.073927
3,2,1,500,0.169488
3,2,1,1000,0.119064
3,2,1,2000,0.104674
3,2,1,4000,0.066759
3,2,2,500,0.163019
3,2,2,1000,0.105431
3,2,2,2000,0.086506
3,2,2,4000,0.084787
3,2,3,500,0.201573
3,2,3,1000,0.142429
3,2,3,2000,0.086130
3,2,3,4000,0.064931
3,3,0,500,0.187410
3,3,0,1000,0.123863
3,3,0,2000,0.099318
3,3,0,4000,0.071971
3,3,1,500,0.144516
3,3,1,1000,0.124163
3,3,1,2000,0.105159
3,3,1,4000,0.069329
3,3,2,500,0.164289
3,3,2,1000,0.150439
3,3,2,2000,0.105144
3,3,2,4000,0.065085
3,3,3,500,0.138310
3,3,3,1000,0.095579
3,3,3,2000,0.081010
3,3,3,4000,0.065899
3,4,0,500,0.168388
3,4,0,1000,0.131009
3,4,0,2000,0.092942
3,4,0,4000,0.070134
3,4,1,500,0.158917
3,4,1,1000,0.122772
3,4,1,2000,0.085022
3,4,1,4000,0.055010
3,4,2,500,0.187796
3,4,2,1000,0.106748
3,4,2,2000,0.086161
3,4,2,4000,0.068836
3,4,3,500,0.174022
3,4,3,1000,0.113267
3,4,3,2000,0.098515
3,4,3,4000,0.076672
3,5,0,500,0.157819
3,5,0,1000,0.092366
3,5,0,2000,0.085368
3,5,0,4000,0.068504
3,5,1,500,0.162337
3,5,1,1000,0.123261
3,5,1,2000,0.090909
3,5,1,4000,0.083681
3,5,2,500,0.191468
3,5,2,1000,0.144515
3,5,2,2000,0.082951
3,5,2,4000,0.069594
3,5,3,500,0.144203
3,5,3,1000,0.114571
3,5,3,2000,0.097509
3,5,3,4000,0.057275
4,1,0,500,0.179498
4,1,0,1000,0.125792
4,1,0,2000,0.097633
4,1,0,4000,0.074445
4,1,1,500,0.215003
4,1,1,1000,0.144334
4,1,1,2000,0.107927
4,1,1,4000,0.078879
4,1,2,500,0.176481
4,1,2,1000,0.126005
4,1,2,2000,0.085725
4,1,2,4000,0.066598
4,1,3,500,0.173827
4,1,3,1000,0.128510
4,1,3,2000,0.085128
4,1,3,4000,0.057512
4,2,0,500,0.215387
4,2,0,1000,0.121319
4,2,0,2000,0.107530
4,2,0,4000,0.072001
4,2,1,500,0.188839
4,2,1,1000,0.120509
4,2,1,2000,0.083342
4,2,1,4000,0.069831
4,2,2,500,0.163131
4,2,2,1000,0.109590
4,2,2,2000,0.102293
4,2,2,4000,0.072052
4,2,3,500,0.154555
4,2,3,1000,0.120184
4,2,3,2000,0.076675
4,2,3,4000,0.064405
4,3,0,500,0.142021
4,3,0,1000,0.121698
4,3,0,2000,0.080585
4,3,0,4000,0.082923
4,3,1,500,0.164213
4,3,1,1000,0.105074
4,3,1,2000,0.096127
4,3,1,4000,0.068182
4,3,2,500,0.150727
4,3,2,1000,0.118394
4,3,2,2000,0.075342
4,3,2,4000,0.069854
4,3,3,500,0.198215
4,3,3,1000,0.120983
4,3,3,2000,0.093904
4,3,3,4000,0.071319
4,4,0,500,0.187254
4,4,0,1000,0.143298
4,4,0,2000,0.089140
4,4,0,4000,0.071116
4,4,1,500,0.174346
4,4,1,1000,0.148075
4,4,1,2000,0.078930
4,4,1,4000,0.062879
4,4,2,500,0.160562
4,4,2,1000,0.129322
4,4,2,2000,0.092297
4,4,2,4000,0.072005
4,4,3,500,0.187640
4,4,3,1000,0.101208
4,4,3,2000,0.087479
4,4,3,4000,0.062529
4,5,0,500,0.180280
4,5,0,1000,0.120212
4,5,0,2000,0.090019
4,5,0,4000,0.070310
4,5,1,500,0.175140
4,5,1,1000,0.136775
4,5,1,2000,0.087665
4,5,1,4000,0.083111
4,5,2,500,0.177499
4,5,2,1000,0.111942
4,5,2,2000,0.081609
4,5,2,4000,0.068748
4,5,3,500,0.188947
4,5,3,1000,0.147837
4,5,3,2000,0.092814
4,5,3,4000,0.083862
